[2014-01-04 19:24:14,855] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:24:29,085] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:24:29,088] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:26:12,180] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:26:12,181] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:26:30,641] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:26:30,642] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:27:11,611] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:27:11,615] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:27:55,846] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:27:55,848] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:28:13,016] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:28:13,019] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:28:28,713] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:28:28,713] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:29:23,676] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:29:23,677] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:31:31,273] DEBUG [TaskManager.views:40] debug
[2014-01-04 19:31:31,273] DEBUG [TaskManager.signals:7] signals page
[2014-01-04 19:38:58,976] INFO [TaskManager.signals:10] Signal was called
